CodMunicipio;Municipi;Casos PCR+;Incidència acumulada PCR+;Casos PCR+ 14 dies;Incidència acumulada PCR+14;Defuncions;Taxa de defunció
3097;Orba; 19; 873,97; 4; 183,99; 0; 0,0
3099;Orihuela; 2031; 2623,56; 48; 62,0; 32; 41,34
12085;Oropesa del Mar/Orpesa; 150; 1652,71; 0; 0,0; 5; 55,09
3098;Orxeta; 7; 951,09; 0; 0,0; 0; 0,0
46185;Otos; 8; 1843,32; 1; 230,41; 0; 0,0
46186;Paiporta; 483; 1851,43; 40; 153,33; 8; 30,67
12087;Palanques; 0; 0,0; 0; 0,0; 0; 0,0
46187;Palma de Gandía; 9; 551,81; 1; 61,31; 1; 61,31
46188;Palmera; 4; 390,62; 2; 195,31; 0; 0,0
46189;Palomar (el); 1; 169,49; 0; 0,0; 0; 0,0
3100;Parcent; 4; 430,57; 0; 0,0; 0; 0,0
46190;Paterna; 1128; 1606,95; 127; 180,92; 15; 21,37
12088;Pavías; 0; 0,0; 0; 0,0; 0; 0,0
46191;Pedralba; 43; 1547,88; 2; 71,99; 1; 36,0
3101;Pedreguer; 93; 1207,95; 27; 350,69; 4; 51,95
3102;Pego; 55; 543,05; 7; 69,12; 0; 0,0
3103;Penàguila; 5; 1712,33; 0; 0,0; 0; 0,0
12089;Peníscola/Peñíscola; 206; 2706,25; 5; 65,69; 1; 13,14
3104;Petrer; 1292; 3769,4; 148; 431,79; 27; 78,77
46192;Petrés; 9; 902,71; 0; 0,0; 1; 100,3
46193;Picanya; 280; 2432,03; 24; 208,46; 11; 95,54
46194;Picassent; 412; 1967,34; 63; 300,83; 7; 33,43
3902;Pilar de la Horadada; 522; 2383,02; 29; 132,39; 20; 91,3
46195;Piles; 15; 558,66; 1; 37,24; 0; 0,0
12090;Pina de Montalgrao; 3; 2702,7; 1; 900,9; 0; 0,0
46196;Pinet; 2; 1273,89; 0; 0,0; 0; 0,0
3105;Pinós (el)/Pinoso; 450; 5649,01; 33; 414,26; 7; 87,87
3106;Planes; 1; 144,3; 0; 0,0; 0; 0,0
12093;Pobla de Benifassà (la); 1; 495,05; 0; 0,0; 0; 0,0
46199;Pobla de Farnals (la); 135; 1692,15; 8; 100,28; 3; 37,6
46202;Pobla de Vallbona (la); 422; 1727,17; 59; 241,48; 9; 36,84
46200;Pobla del Duc (la); 44; 1730,24; 12; 471,88; 1; 39,32
46203;Pobla Llarga (la); 82; 1841,87; 7; 157,23; 2; 44,92
12094;Pobla Tornesa (la); 17; 1403,8; 0; 0,0; 2; 165,15
3901;Poblets (els); 16; 591,5; 1; 36,97; 0; 0,0
